Month (YYYY-MM),Category Group,Category,Planned,Notes
2025-06,Uncategorized / Review,To Triage,3953.9,unmapped
2025-06,Uncategorized / Review,To Triage,5081.25,unmapped
2025-06,Uncategorized / Review,To Triage,2924.12,unmapped
2025-06,Uncategorized / Review,To Triage,1258.5,unmapped
2025-06,Uncategorized / Review,To Triage,3048.0,unmapped
2025-06,Debt & Loans,Auto Loan,33767.0,BPI
2025-06,Uncategorized / Review,To Triage,20428.52,unmapped
2025-06,Uncategorized / Review,To Triage,9350.0,unmapped
2025-06,Uncategorized / Review,To Triage,11980.0,unmapped
2025-06,Uncategorized / Review,To Triage,5915.26,unmapped
2025-06,Uncategorized / Review,To Triage,19914.36,unmapped
2025-06,Uncategorized / Review,To Triage,10667.59,unmapped
2025-06,Uncategorized / Review,To Triage,66026.11,unmapped
2025-06,Uncategorized / Review,To Triage,8992.0,unmapped
2025-06,Uncategorized / Review,To Triage,5646.95,unmapped
2025-06,Uncategorized / Review,To Triage,15292.63,unmapped
2025-06,Uncategorized / Review,To Triage,2998.0,unmapped
2025-06,Uncategorized / Review,To Triage,2715.64,unmapped
2025-06,Uncategorized / Review,To Triage,7544.0,unmapped
2025-06,Uncategorized / Review,To Triage,3718.07,unmapped
2025-06,Health & Insurance,Medications & Vitamins,6935.06,
2025-06,Uncategorized / Review,To Triage,8000.0,unmapped
2025-06,Uncategorized / Review,To Triage,52669.06,unmapped
2025-06,Uncategorized / Review,To Triage,8000.0,unmapped
2025-06,Uncategorized / Review,To Triage,500.0,unmapped
2025-06,Uncategorized / Review,To Triage,6837.0,unmapped
2025-06,Uncategorized / Review,To Triage,9015.0,unmapped
2025-06,Uncategorized / Review,To Triage,18000.0,unmapped
2025-06,Uncategorized / Review,To Triage,4124.0,unmapped
2025-06,Uncategorized / Review,To Triage,615.0,unmapped
2025-06,Uncategorized / Review,To Triage,4371.53,unmapped
2025-06,Uncategorized / Review,To Triage,1717.21,unmapped
2025-06,Uncategorized / Review,To Triage,5435.26,unmapped
2025-06,Uncategorized / Review,To Triage,6507.78,unmapped
2025-07,Debt & Loans,Auto Loan,33767.0,BPI
2025-07,Uncategorized / Review,To Triage,20428.52,unmapped
2025-07,Uncategorized / Review,To Triage,4454.67,unmapped
2025-07,Uncategorized / Review,To Triage,1000.0,unmapped
2025-08,Uncategorized / Review,To Triage,1847.33,unmapped
2025-08,Uncategorized / Review,To Triage,2666.34,unmapped
2025-08,Uncategorized / Review,To Triage,5915.26,unmapped
2025-08,Uncategorized / Review,To Triage,3188.2,unmapped
2025-08,Uncategorized / Review,To Triage,2150.37,unmapped
2025-08,Uncategorized / Review,To Triage,1573.41,unmapped
2025-08,Uncategorized / Review,To Triage,2549.19,unmapped
2025-08,Uncategorized / Review,To Triage,1396.92,unmapped
2025-08,Uncategorized / Review,To Triage,539.81,unmapped
2025-08,Uncategorized / Review,To Triage,503.43,unmapped
